Comment,Designator,Footprint,LCSC,Quantity
Barrel_Jack_Switch,J7,BarrelJack_Horizontal,C111567,1
1.5M,R2,R_0805_2012Metric,C118025,1
100uF,C1,CP_EIA-7343-31_Kemet-D_HandSolder,C122302,1
100nF,"C13,C9",R_0805_2012Metric,C126469,2
22uF,"C16,C6",C_1206_3216Metric,C12891,2
10uF,"C10,C3",C_1206_3216Metric,C13585,2
PEC11R-4215F-S0024,MT1,XDCR_PEC11R-4215F-S0024,C143790,1
ES2F,D3,D_SMB,C145321,1
15K,"R6,R7,R8",R_1206_3216Metric,C1493,3
10nF,"C11,C12",R_0805_2012Metric,C1589,2
10k,"R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R34,R35,R5",R_0805_2012Metric,C17414,15
330,R4,R_0805_2012Metric,C17630,1
0,"R10,R16",R_1206_3216Metric,C17888,2
120K,"R20,R9",R_1206_3216Metric,C17908,2
1M,"R11,R12,R13",R_1206_3216Metric,C17927,3
27K,"R17,R18,R19",R_1206_3216Metric,C17943,3
HV5622PG,"U4,U5",PQFP-44_10x10mm_P0.8mm,C220637,2
0.05,R1,R_0805_2012Metric,C247602,1
D_Schottky,D2,D_SMB,C2479,1
D_Schottky,D1,D_SMB,C2480,1
10k,R3,R_0805_2012Metric,C269724,1
1uF,C15,R_0805_2012Metric,C28323,1
6.8uH,L2,L_Bourns_SRN8040TA,C2849553,1
USB_C_Receptacle_USB2.0_16P,J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C2894897,1
ESP32-C3-WROOM-02,U3,ESP32-C3-WROOM-02,C2934560,1
100uH,L1,L_APV_APH1050,C2962892,1
IRF740,Q1,TO-263-2,C39238,1
0.1 uF,"C14,C17,C18,C19,C2,C4,C5",C_0805_2012Metric,C396718,7
MAX1771xSA,U2,SO-8_3.9x4.9mm_P1.27mm,C407903,1
100nF,C8,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,C52020,1
BSS138,"Q2,Q3,Q4,Q5,Q6,Q8,Q9",SOT-23,C52895,7
Thermistor_PTC,TH1,R_1206_3216Metric,C5678440,1
5K,RV1,Potentiometer_Bourns_3314J_Vertical,C58391,1
AP63203WU,U1,TSOT-23-6,C780769,1
SW_Push,"BOOT1,RESET1",SW_SPST_Omron_B3FS-100xP,C87038,2
5.11K,"R14,R15",R_1206_3216Metric,C870811,2
Thermistor_PTC,TH2,R_1206_3216Metric,C883122,1
4.7uF,C7,C_Elec_8x10.2,C88702,1
Conn_02x02_Odd_Even,J1,PinHeader_2x02_P2.54mm_Vertical_SMD,C919361,1
LED,D4,LED_0805_2012Metric,C965812,1
TestPoint,GND1,TestPoint_Pad_D1.5mm,,1
TestPoint,3V3,TestPoint_Pad_D1.5mm,,1
IN-14,N6,nixies-us-IN-14,,1
IN-3,DOT1,nixies-us-IN-3,,1
IN-14,N3,nixies-us-IN-14,,1
IN-3,DOT2,nixies-us-IN-3,,1
IN-14,N1,nixies-us-IN-14,,1
IN-14,N4,nixies-us-IN-14,,1
IN-14,N5,nixies-us-IN-14,,1
IN-14,N2,nixies-us-IN-14,,1
TestPoint,170V_EXT1,TestPoint_Pad_D1.5mm,,1
